"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86"
"21MC010024CUNA03_00102_1_BayouBelle_G2","t1","t3",27,19,16,44,0,0,0,0,273,147,42,0,0,0,0,114,0,60,126,0,0,0,287,182,648,227,0,0,0,0,3,0,3,5,0,1,170,592,0,0,0,0,"0x00905030",71,"0x00a06040",68,"0x00904030",54,"0x00a05030",54,"0x00804030",54,"0x00805030",51,"0x00b06040",47,"0x00c06040",45,"0x00906040",41,"0x00b05040",33,"0x00a05040",27,"0x00905040",26,"0x00a07040",21,"0x00704030",21,"0x00a07050",19,"0x00c05040",18,"0x00a04030",18,"0x00c07050",17,"0x00705030",13,"0x00c07040",13,"11012021  11:01:22"
"21MC010024CUNA03_00102_1_BayouBelle_G2","t1","t3",39,26,15,45,0,0,0,0,68,83,15,0,0,0,0,59,0,58,112,0,0,0,235,75,510,246,0,0,0,0,3,0,3,5,0,1,220,547,0,0,0,0,"0x00b06040",117,"0x00a05030",95,"0x00905030",94,"0x00a06040",67,"0x00904030",63,"0x00b05040",50,"0x00c06040",46,"0x00a05040",44,"0x00b05030",36,"0x00a04030",32,"0x00c05040",30,"0x00906040",29,"0x00905040",27,"0x00804030",25,"0x00805030",23,"0x00b07040",15,"0x00c07040",13,"0x00704030",11,"0x00a07040",10,"0x00a06030",7,"11012021  11:01:24"
"21MC010024CUNA03_00102_1_BayouBelle_G2","t1","t3",36,22,14,48,0,0,0,0,142,77,14,0,0,0,0,190,0,63,115,0,0,0,242,96,515,220,0,0,0,0,3,0,3,5,0,1,26,371,0,0,0,0,"0x00b06040",116,"0x00a06040",95,"0x00c06040",85,"0x00a05030",60,"0x00906040",56,"0x00905030",45,"0x00905040",35,"0x00a05040",32,"0x00b07050",29,"0x00b05040",29,"0x00b05030",29,"0x00c07040",28,"0x00b07040",26,"0x00805030",24,"0x00904030",23,"0x00a07050",22,"0x00c07050",17,"0x00a07040",16,"0x00a04030",14,"0x00d07050",14,"11012021  11:01:25"
"21MC010024CUNA03_00102_1_BayouBelle_G2","t1","t3",31,19,12,67,0,0,0,0,6,44,18,0,0,0,0,232,0,62,125,0,0,0,247,71,363,157,0,0,0,0,3,0,3,5,0,1,248,484,0,0,0,0,"0x00905030",154,"0x00a05030",86,"0x00904030",84,"0x00804030",72,"0x00906040",66,"0x00805030",58,"0x00a06040",50,"0x00905040",48,"0x00b05040",43,"0x00a05040",37,"0x00a04030",29,"0x00705030",28,"0x00b05030",27,"0x00b06040",21,"0x00806040",17,"0x00704030",16,"0x00c06040",15,"0x00805040",15,"0x00a07050",10,"0x00b07040",7,"11012021  11:01:25"
"21MC010024CUNA03_00102_1_BayouBelle_G2","t1","t3",29,22,7,34,0,0,0,0,13,84,15,0,0,0,0,174,0,62,118,0,0,0,196,73,570,295,0,0,0,0,3,0,3,5,0,1,207,581,0,0,0,0,"0x00905030",123,"0x00a06040",116,"0x00805030",83,"0x00804030",80,"0x00a05030",67,"0x00906040",56,"0x00b06040",55,"0x00b07050",32,"0x00904030",31,"0x00704030",30,"0x00905040",26,"0x00b07040",25,"0x00a05040",23,"0x00705030",21,"0x00a07040",20,"0x00906030",16,"0x00c07050",16,"0x00c08050",14,"0x00a06030",13,"0x00704020",10,"11012021  11:01:27"
"21MC010024CUNA03_00102_1_BayouBelle_G2","t1","t3",27,21,6,64,0,0,0,0,17,29,16,0,0,0,0,18,0,56,97,0,0,0,173,28,272,164,0,0,0,0,3,0,3,5,0,1,26,187,0,0,0,0,"0x00c06040",125,"0x00b06040",116,"0x00d06040",55,"0x00905030",54,"0x00a05030",53,"0x00a06040",49,"0x00c07050",47,"0x00e06040",34,"0x00804030",31,"0x00b05040",30,"0x00a05040",28,"0x00c05040",27,"0x00b05030",27,"0x00b07040",23,"0x00c07040",23,"0x00904030",23,"0x00805030",18,"0x00704030",18,"0x00905040",16,"0x00d05040",14,"11012021  11:01:29"
"21MC010024CUNA03_00102_1_BayouBelle_G2","t1","t3",28,19,9,42,0,0,0,0,41,40,16,0,0,0,0,33,0,57,125,0,0,0,205,67,483,245,0,0,0,0,3,0,3,5,0,1,249,555,0,0,0,0,"0x00a05030",106,"0x00a06040",83,"0x00b06040",83,"0x00b05040",63,"0x00905030",60,"0x00804030",49,"0x00904030",48,"0x00b05030",44,"0x00a05040",43,"0x00c05040",40,"0x00c06040",36,"0x00704030",29,"0x00b07050",26,"0x00a04030",26,"0x00c07050",23,"0x00805030",20,"0x00905040",18,"0x00c08050",14,"0x00906040",14,"0x00b07040",12,"11012021  11:01:31"
"21MC010024CUNA03_00102_1_BayouBelle_G2","t1","t3",39,24,15,146,0,0,0,0,17,61,19,0,0,0,0,187,0,62,113,0,0,0,561,224,389,109,0,0,0,0,3,0,3,5,0,1,46,378,0,0,0,0,"0x00905030",107,"0x00a06040",71,"0x00a05030",71,"0x00906040",67,"0x00805030",55,"0x00904030",54,"0x00804030",51,"0x00b06040",42,"0x00b05030",28,"0x00905040",24,"0x00a07040",19,"0x00c06040",19,"0x00b07040",17,"0x00a04030",15,"0x00a05040",13,"0x00804020",13,"0x00a06030",12,"0x00704030",12,"0x00b08050",12,"0x00d07040",12,"11012021  11:01:32"
"21MC010024CUNA03_00102_1_BayouBelle_G2","t1","t3",36,22,21,51,0,0,0,0,107,74,32,0,0,0,0,82,0,59,112,0,0,0,241,84,469,214,0,0,0,0,3,0,3,5,0,1,50,350,0,0,0,0,"0x00b06040",116,"0x00a06040",69,"0x00c06040",54,"0x00a05030",53,"0x00b05040",49,"0x00a05040",46,"0x00905030",45,"0x00d06040",40,"0x00b05030",38,"0x00906040",38,"0x00c05040",37,"0x00905040",30,"0x00805030",25,"0x00904030",22,"0x00804030",20,"0x00d05040",20,"0x00b07050",18,"0x00a04030",17,"0x00c07050",16,"0x00c07040",15,"11012021  11:01:33"
"21MC010024CUNA03_00102_1_BayouBelle_G2","t1","t3",29,24,10,72,0,0,0,0,8,56,23,0,0,0,0,44,0,59,107,0,0,0,315,162,464,160,0,0,0,0,3,0,3,5,0,1,127,409,0,0,0,0,"0x00a05030",114,"0x00b06040",97,"0x00904030",69,"0x00a06040",58,"0x00905030",57,"0x00c06040",50,"0x00b05030",39,"0x00c07040",38,"0x00a04030",31,"0x00b07040",25,"0x00a05040",20,"0x00805030",20,"0x00906040",18,"0x00804030",18,"0x00d07040",18,"0x00b06030",17,"0x00c07050",16,"0x00a06030",13,"0x00f0a050",13,"0x00b05040",12,"11012021  11:01:34"
